,SSOId,Visitors,Visits/Visitors,Visits,VisitorsApp,VisitorsWeb,VisitorsAmp,StartDay
32,C696C78C17D42034C6EBB448559760F374F53152BB6BC2E4D4A89683665A4782,1.0,1.0,1.0,0.0,1.0,0.0,20200425
33,F3EEC8DC13C6B578405B87CB92B62D3BBAE14A76E3A84679F3888FD4E53AEB36,1.0,1.0,1.0,0.0,1.0,0.0,20200425
34,7CE113C786BBEB9995F8DC07184223A7811BB8F0CB1EE3DB7BD26A3A9A6F6FE3,1.0,1.0,1.0,0.0,1.0,0.0,20200425
35,840137D275B740092DE6A1FA75D1738911868A926DB30C53768F8A2AE9A14D3D,1.0,1.0,1.0,0.0,1.0,0.0,20200425
36,C2EF76E62827A2C29F1BBEA9C24A2792E4FB8D94EC276ACE4B5A741642CC1558,1.0,1.0,1.0,0.0,1.0,0.0,20200425
37,AEA6C8685023D09E8BA0E5C44A42D610C56D1E3C7ADB974FC64D5B70634166DC,1.0,1.0,1.0,0.0,1.0,0.0,20200425
38,83CB52A25260E844B7F3AF4B9A6E2E8E124AFFE0162EB55E11A73FB865B6FF45,1.0,1.0,1.0,0.0,1.0,0.0,20200425
39,25B27E21009D9724107A4D2812AC422675482BDE1828C58859B6889D0298CB61,1.0,1.0,1.0,0.0,1.0,0.0,20200425
40,8B21698920701696AFD25AFDA3FEAC2CD9B3862B7DA6A729BD0FBA6DCC0A7797,1.0,1.0,1.0,0.0,1.0,0.0,20200425
41,656C30006CF76200B0CF2A0F587173214038ECCA35DE56F1EA337840FDF579E2,1.0,1.0,1.0,0.0,1.0,0.0,20200425
42,3F6629B34023F66E3B0EE53973D077FBC155563F009187DBE5D4A7A11BB6B362,1.0,1.0,1.0,0.0,1.0,0.0,20200425
43,A5482F6D93DC2A96DF07D4C2D75099F7013F55DD1A90F940C69211C6ECF4281E,1.0,1.0,1.0,0.0,1.0,0.0,20200425
44,4E73D9909E2F5C1A7508662E59109E5B42E9547ACE5BC37B92B5DB07C4F2898C,1.0,1.0,1.0,0.0,1.0,0.0,20200425
45,33120D5D87A26E9329FEC9E5C58460557FBFC007542E5D830AF2982CA93765AC,1.0,1.0,1.0,0.0,1.0,0.0,20200425
46,000073091B8AEBCB6240135A1685486C50FDD2E0F4448392FBD2540E8EC16FA0,1.0,1.0,1.0,0.0,1.0,0.0,20200425
47,5A7C73655858D2FAF2208F1FD9DF974764A6A0FF13C5F91EFAFD0A50C7FAA98B,1.0,1.0,1.0,0.0,1.0,0.0,20200425
48,68CA00652F43542C93D1BBF90321AA392FE331E24DE76FCAF48F156B7320067C,1.0,1.0,1.0,0.0,1.0,0.0,20200425
49,8E8B081EA69E3FF09E39655F5B399A9505CA7B291658FDE5661556FCD062B802,1.0,1.0,1.0,0.0,1.0,0.0,20200425
50,C2B6BCBA91E80EDE181D49885256377381D90397B5D8E2FCB58E359A9F0EEFD5,1.0,1.0,1.0,0.0,1.0,0.0,20200425
51,74AD0CD1A06D62BDDD221134028AF7B0808B6CF6EC7A6B6887AA69A6485F4069,1.0,1.0,1.0,0.0,1.0,0.0,20200425
52,CEB610E044FF9C2131C43AF7A35029250F1073E9DC96DB6EC8784478C9365B67,1.0,1.0,1.0,0.0,1.0,0.0,20200425
53,5DAC5929F4BBB65F5D9CD89A0BF38BB0E41640094071FCDF2C3F72A428182E0A,1.0,1.0,1.0,0.0,1.0,0.0,20200425
54,AA51418005F216DB8238F3424B0F8F0047EC5C8BB9AFD7079244D8DF35DB7CB1,1.0,1.0,1.0,0.0,1.0,0.0,20200425
55,29B194E03D535CD5487B65CD3E6976D192DEFA7C5CE03B1CC8EAECB0F756CCC7,1.0,1.0,1.0,0.0,1.0,0.0,20200425
56,F60B818FBE28F6ECAD0DD757D97805F5C464580BCC1A9A6C36BD358866350AF3,1.0,1.0,1.0,0.0,1.0,0.0,20200425
57,52B1803F08BD88307A356C5F03BB9C4C8C88821DE5AB05A3DBCE64ECA9CBABC1,1.0,1.0,1.0,0.0,1.0,0.0,20200425
58,22622B482349508366456E4624F9504C784C399DAD2D894E20A3C2155EE850BC,1.0,1.0,1.0,0.0,1.0,0.0,20200425
59,B1AEBCD75A9B50C07857CB538B230E1A83DF0851E2D5292CB26445D08665F403,1.0,1.0,1.0,0.0,1.0,0.0,20200425
60,3F629507FA10FA17E6A0A9DB3C9978BDBB6B3EF195B15DDFE27E7F23EC2BFE30,1.0,1.0,1.0,0.0,1.0,0.0,20200425
